project_id,state,district,project_type,land_area_hectares,affected_families,compensation_status,legal_dispute,approval_stage,rehabilitation_progress_pct,stakeholder_responsiveness,historical_dept_performance_score,months_since_initiation,notification_delay,approval_delay,compensation_delay,possession_delay,delay_label
LA-1001,Gujarat,Vadodara,Irrigation,46.44,5,Paid,No,Possession,88.9,Medium,80.89013815041125,21.3,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1002,West Bengal,Kolkata,Highway,65.55,90,Paid,Yes,Possession,15.1,Low,61.43904309851535,11.0,Delayed,Delayed,On-Time,Delayed,Delayed
LA-1003,Karnataka,Bengaluru,Irrigation,38.55,75,Paid,Yes,Possession,94.1,High,71.90848817902315,25.0,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1004,Madhya Pradesh,Jabalpur,Airport,50.03,120,Paid,No,Compensation,29.5,Medium,41.27385180748185,60.0,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1005,Uttar Pradesh,Kanpur,Metro,127.39,294,Paid,No,Possession,30.7,Medium,95.0,12.9,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1006,Uttar Pradesh,Agra,Power Project,125.63,210,Paid,No,Approval,60.8,High,61.58631020972235,11.7,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1007,Delhi,South Delhi,Power Project,132.03,231,Paid,No,Notification,58.4,High,57.6772043289563,43.3,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1008,Bihar,Muzaffarpur,Industrial Corridor,64.93,60,Paid,No,Compensation,21.0,Medium,61.01373138668234,9.3,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1009,Madhya Pradesh,Gwalior,Power Project,92.77,130,Paid,No,Compensation,38.3,High,50.76823871634571,7.1,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1010,Karnataka,Mysuru,Metro,86.52,177,Paid,No,Possession,48.6,High,47.4722517082207,10.6,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1011,Delhi,New Delhi,Airport,206.45,170,Partially Paid,No,Notification,55.7,Medium,65.61566492155741,29.2,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1012,West Bengal,Kolkata,Power Project,59.52,69,Partially Paid,No,Possession,77.0,Low,66.71173625200025,11.1,Delayed,Delayed,Delayed,Delayed,On-Time
LA-1013,Bihar,Bhagalpur,Industrial Corridor,54.15,89,Pending,No,Approval,75.5,Low,68.35813517703353,26.0,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1014,Uttar Pradesh,Prayagraj,Metro,60.49,105,Paid,No,Compensation,74.8,High,64.49086635663637,31.8,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1015,Uttar Pradesh,Kanpur,Highway,167.28,227,Paid,No,Notification,62.0,Medium,63.753679952757444,16.8,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1016,Uttar Pradesh,Prayagraj,Railway,143.24,327,Paid,No,Compensation,60.9,High,46.95385983865308,16.1,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1017,Maharashtra,Nagpur,Railway,30.44,85,Partially Paid,Yes,Compensation,72.3,High,57.689465829799396,20.3,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1018,Rajasthan,Udaipur,Highway,29.04,119,Partially Paid,No,Approval,54.0,Medium,67.41911890704652,60.0,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1019,Gujarat,Ahmedabad,Irrigation,112.54,162,Paid,No,Approval,40.2,High,56.918882632179766,14.6,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1020,Maharashtra,Mumbai,Power Project,81.61,102,Pending,No,Compensation,46.2,High,69.38252977770836,21.1,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1021,Madhya Pradesh,Bhopal,Railway,15.71,97,Partially Paid,Yes,Possession,25.9,Low,62.9718573030477,54.0,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1022,Uttar Pradesh,Lucknow,Irrigation,30.72,5,Pending,No,Approval,68.1,Low,62.85619651613933,56.8,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1023,Maharashtra,Nashik,Railway,84.56,62,Paid,No,Approval,50.5,Medium,68.10903129695322,13.7,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1024,Gujarat,Surat,Highway,358.73,347,Paid,No,Approval,86.3,Low,72.27714643472358,9.2,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1025,Rajasthan,Jaipur,Power Project,130.65,351,Paid,No,Possession,43.6,Medium,75.62031793801604,37.0,On-Time,Delayed,On-Time,Delayed,On-Time
LA-1026,Tamil Nadu,Coimbatore,Power Project,40.63,55,Paid,No,Approval,51.5,High,94.74563837525784,19.8,Delayed,On-Time,On-Time,Delayed,On-Time
LA-1027,Uttar Pradesh,Kanpur,Irrigation,203.28,424,Pending,No,Notification,60.4,Medium,77.95672854750288,53.0,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1028,Rajasthan,Jaipur,Highway,36.58,72,Paid,No,Possession,42.3,High,42.79334112465926,6.0,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1029,Madhya Pradesh,Indore,Irrigation,54.35,72,Partially Paid,Yes,Compensation,39.6,High,48.742067929154175,9.2,Delayed,Delayed,On-Time,On-Time,Delayed
LA-1030,Delhi,North Delhi,Power Project,199.37,405,Paid,No,Notification,48.4,Low,60.88029812700576,21.4,Delayed,On-Time,On-Time,Delayed,On-Time
LA-1031,Madhya Pradesh,Jabalpur,Power Project,36.33,107,Paid,No,Possession,73.0,Medium,53.5562446404364,23.0,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1032,Uttar Pradesh,Lucknow,Metro,220.32,417,Paid,No,Compensation,57.2,High,70.85745290722467,12.1,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1033,Delhi,South Delhi,Irrigation,11.36,67,Paid,Yes,Compensation,73.3,High,72.44888526785452,24.1,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1034,West Bengal,Howrah,Metro,115.58,144,Partially Paid,Yes,Approval,32.0,High,57.747311171951225,38.7,Delayed,On-Time,On-Time,Delayed,Delayed
LA-1035,West Bengal,Kolkata,Highway,98.71,249,Pending,Yes,Possession,66.9,Low,82.84512797277534,22.2,Delayed,Delayed,Delayed,Delayed,Delayed
LA-1036,Tamil Nadu,Madurai,Airport,160.92,311,Partially Paid,No,Approval,68.0,Medium,86.81300018413735,38.2,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1037,Maharashtra,Pune,Railway,95.5,180,Partially Paid,Yes,Approval,44.1,Medium,37.82258086316604,16.6,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1038,Uttar Pradesh,Varanasi,Metro,100.63,212,Paid,Yes,Notification,29.0,Medium,43.56683068206735,41.6,On-Time,On-Time,On-Time,Delayed,Delayed
LA-1039,Karnataka,Bengaluru,Railway,51.28,63,Pending,No,Possession,54.9,Medium,81.45860227339244,28.5,Delayed,Delayed,Delayed,On-Time,On-Time
LA-1040,Gujarat,Ahmedabad,Industrial Corridor,70.75,132,Paid,No,Compensation,74.9,Medium,78.0474347810005,10.4,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1041,Uttar Pradesh,Varanasi,Highway,207.15,205,Pending,Yes,Compensation,44.5,Medium,72.53977726404982,28.2,Delayed,On-Time,Delayed,Delayed,Delayed
LA-1042,Rajasthan,Jodhpur,Airport,113.73,174,Partially Paid,Yes,Approval,87.5,Low,65.16409613863885,21.2,On-Time,Delayed,Delayed,On-Time,Delayed
LA-1043,Delhi,South Delhi,Industrial Corridor,128.18,253,Paid,Yes,Compensation,86.3,Low,63.45324781017191,23.9,Delayed,Delayed,Delayed,On-Time,On-Time
LA-1044,Bihar,Muzaffarpur,Industrial Corridor,101.29,138,Paid,No,Possession,28.9,Low,73.04899150141017,21.1,Delayed,On-Time,On-Time,Delayed,On-Time
LA-1045,Maharashtra,Nagpur,Power Project,74.79,208,Pending,Yes,Approval,46.0,Medium,67.64714963719237,13.9,Delayed,On-Time,Delayed,Delayed,Delayed
LA-1046,Karnataka,Mangaluru,Industrial Corridor,16.65,110,Paid,No,Possession,68.8,Low,84.61584060464281,60.0,On-Time,On-Time,On-Time,On-Time,Delayed
LA-1047,Maharashtra,Aurangabad,Highway,184.56,291,Paid,Yes,Approval,60.4,High,54.78134077258815,25.9,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1048,Rajasthan,Udaipur,Metro,136.87,176,Paid,Yes,Possession,36.3,Low,65.26993192782291,22.1,Delayed,On-Time,Delayed,On-Time,Delayed
LA-1049,Rajasthan,Udaipur,Highway,87.82,164,Partially Paid,No,Notification,85.9,Low,78.35502972473104,8.2,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1050,Uttar Pradesh,Prayagraj,Metro,44.82,104,Paid,Yes,Compensation,69.0,Low,67.46627280687615,30.5,Delayed,Delayed,Delayed,On-Time,On-Time
LA-1051,West Bengal,Siliguri,Industrial Corridor,144.37,287,Pending,Yes,Possession,24.7,Low,75.0973900294147,4.6,Delayed,Delayed,On-Time,Delayed,Delayed
LA-1052,Tamil Nadu,Coimbatore,Industrial Corridor,42.05,105,Pending,No,Possession,83.1,High,74.87932713123125,32.9,On-Time,On-Time,On-Time,Delayed,On-Time
LA-1053,West Bengal,Durgapur,Airport,130.01,190,Pending,No,Approval,39.7,High,58.62738525854866,9.2,On-Time,On-Time,Delayed,Delayed,On-Time
LA-1054,Bihar,Gaya,Metro,53.4,102,Paid,No,Approval,71.9,High,49.689984051473026,9.5,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1055,Madhya Pradesh,Bhopal,Industrial Corridor,106.31,146,Partially Paid,Yes,Notification,21.3,Medium,53.78325440421948,7.0,Delayed,Delayed,On-Time,Delayed,Delayed
LA-1056,West Bengal,Kolkata,Power Project,194.18,248,Paid,No,Possession,53.3,High,48.743503447437675,60.0,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1057,Uttar Pradesh,Agra,Railway,94.85,159,Partially Paid,No,Compensation,67.4,Medium,37.16022878505267,47.1,On-Time,Delayed,On-Time,On-Time,On-Time
LA-1058,Uttar Pradesh,Prayagraj,Airport,121.1,235,Pending,No,Approval,66.5,Medium,81.3764204615218,14.1,On-Time,On-Time,Delayed,On-Time,Delayed
LA-1059,Delhi,North Delhi,Highway,254.84,368,Partially Paid,No,Notification,82.1,Medium,36.70965489697505,23.3,Delayed,On-Time,Delayed,On-Time,On-Time
LA-1060,Maharashtra,Mumbai,Airport,110.96,132,Pending,No,Possession,89.0,Low,92.92190337018897,29.6,On-Time,On-Time,On-Time,Delayed,Delayed
LA-1061,Gujarat,Surat,Railway,41.08,152,Pending,Yes,Compensation,80.1,Medium,57.083190025841915,9.9,Delayed,Delayed,On-Time,On-Time,Delayed
LA-1062,Maharashtra,Pune,Metro,132.83,149,Paid,Yes,Approval,40.4,Medium,60.82467025671208,1.8,On-Time,Delayed,Delayed,On-Time,On-Time
LA-1063,Tamil Nadu,Chennai,Highway,68.5,185,Partially Paid,Yes,Approval,60.8,Medium,42.27659751385555,14.1,Delayed,Delayed,Delayed,On-Time,Delayed
LA-1064,Gujarat,Rajkot,Highway,223.57,296,Paid,No,Approval,82.4,Low,70.76850280913102,8.1,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1065,Maharashtra,Mumbai,Metro,66.36,169,Paid,No,Compensation,72.7,High,61.08661595769802,13.6,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1066,Rajasthan,Jaipur,Irrigation,66.86,131,Paid,No,Possession,42.6,High,65.91646452933648,23.1,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1067,Uttar Pradesh,Agra,Irrigation,119.44,206,Pending,No,Possession,64.9,Low,53.19314674519601,4.6,On-Time,Delayed,Delayed,Delayed,On-Time
