project_id,state,district,project_type,land_area_hectares,affected_families,compensation_status,legal_dispute,approval_stage,possession_status,rehabilitation_progress_pct,stakeholder_responsiveness,historical_dept_performance_score,months_since_initiation,approval_timeline_days,notification_delay,approval_delay,compensation_delay,possession_delay,delay_label
LA-1001,Gujarat,Vadodara,Irrigation,46.44,5,Paid,Yes,Possession,In Progress,87.3,High,65.26872616740691,49.1,300,Delayed,Delayed,Delayed,Delayed,Delayed
LA-1002,West Bengal,Kolkata,Highway,65.55,90,Pending,No,Possession,Completed,27.2,Low,66.87173395088966,17.4,191,On-Time,Delayed,On-Time,On-Time,Delayed
LA-1003,Karnataka,Bengaluru,Irrigation,38.55,75,Partially Paid,No,Possession,In Progress,53.7,Medium,58.635630805513124,17.3,169,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1004,Madhya Pradesh,Jabalpur,Airport,50.03,120,Paid,No,Compensation,In Progress,69.3,Medium,54.91310703223682,28.6,251,On-Time,Delayed,On-Time,Delayed,On-Time
LA-1005,Uttar Pradesh,Kanpur,Metro,127.39,294,Paid,No,Possession,Completed,89.8,High,64.69079711114149,20.9,178,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1006,Uttar Pradesh,Agra,Power Project,125.63,210,Partially Paid,Yes,Approval,Pending,48.5,High,86.6344497225496,7.3,164,On-Time,On-Time,Delayed,On-Time,On-Time
LA-1007,Delhi,South Delhi,Power Project,132.03,231,Pending,No,Notification,Not Started,77.1,High,43.16816094722971,36.5,261,Delayed,Delayed,Delayed,Delayed,On-Time
LA-1008,Bihar,Muzaffarpur,Industrial Corridor,64.93,60,Paid,No,Compensation,In Progress,48.7,High,81.97528745376086,6.3,93,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1009,Madhya Pradesh,Gwalior,Power Project,92.77,130,Paid,Yes,Compensation,In Progress,94.9,High,40.495035579195076,40.3,297,On-Time,On-Time,On-Time,On-Time,On-Time
LA-1010,Karnataka,Mysuru,Metro,86.52,177,Paid,No,Possession,Pending,81.4,Medium,70.42750865266659,10.9,166,Delayed,On-Time,On-Time,On-Time,On-Time
LA-1011,Delhi,New Delhi,Airport,206.45,170,Partially Paid,No,Notification,Not Started,39.7,High,80.74419192455265,60.0,183,On-Time,On-Time,Delayed,On-Time,On-Time
